blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
0,25396,371,88,9.2,26947,375,88,9.6,7,2,1,10,1,1
1,27630,326,84,9.4,27910,331,95,9.4,14,1,2,12,1,2
1,26812,378,93,9.2,24513,375,91,9.2,9,3,0,6,0,1
1,33084,390,96,9.8,21798,265,75,8.4,20,3,0,6,0,3
0,28622,349,84,9.6,30864,327,99,9.6,17,1,3,19,2,0
1,26323,350,84,9.6,25385,351,107,9.0,12,1,0,8,2,0
0,23116,330,60,8.6,27318,330,93,9.0,8,0,1,12,3,0
1,28784,314,102,9.4,22548,280,63,8.4,17,1,0,8,0,1
1,32876,341,69,9.6,24574,293,75,8.8,24,0,0,10,3,3
1,34771,406,95,10.2,20482,275,64,8.6,20,3,0,5,0,5
1,26773,350,120,9.2,22687,344,67,9.0,7,1,0,6,1,2
0,28175,386,87,9.0,25570,347,71,8.8,10,1,0,11,1,1
0,24959,337,88,9.0,26196,282,85,9.0,8,2,1,14,0,1
1,28727,364,71,9.4,26967,325,76,9.2,14,1,0,14,0,1
1,29380,363,120,9.8,23501,346,85,9.0,15,2,0,6,1,1
0,25211,331,117,9.0,27680,317,67,9.2,7,1,1,15,1,1
0,24603,266,76,8.4,30742,366,97,9.4,8,2,6,14,1,1
1,27750,349,69,9.4,27009,326,102,8.8,14,1,1,12,1,0
1,29966,382,120,9.6,26436,313,76,9.4,13,1,2,10,2,1
1,27545,325,83,9.2,24803,345,80,8.8,12,1,1,6,2,1
0,25768,353,52,9.2,29216,380,90,9.8,14,1,1,14,1,0
1,25808,364,110,9.6,22321,377,63,9.0,6,2,0,4,0,1
0,28954,350,52,9.0,28420,317,97,9.4,18,1,2,10,0,0
0,19722,251,44,7.6,30995,378,78,9.2,3,0,6,15,3,0
1,26877,374,90,9.6,23671,334,86,8.8,8,2,0,7,1,1
1,22787,345,84,8.4,25676,331,88,9.2,4,0,0,11,2,0
0,27409,316,107,9.4,26991,345,73,9.4,9,2,0,13,1,1
0,25287,345,100,9.4,26813,355,100,10.0,7,1,0,12,0,1
0,19628,258,50,7.6,34383,412,95,10.0,3,0,9,17,3,0
0,24890,307,87,9.0,31222,328,83,9.4,9,0,2,16,2,0
1,26201,384,89,9.4,23470,331,85,9.0,10,0,0,7,2,0
0,21030,334,94,8.6,29316,399,112,10.0,2,0,2,11,3,0
1,27825,370,121,10.0,21789,361,71,9.0,13,0,0,4,1,0
0,22725,287,58,8.6,27145,354,79,9.2,8,1,2,11,2,0
0,27267,322,89,9.2,27403,343,76,9.4,12,2,1,13,1,1
0,21427,306,73,8.6,29571,346,75,9.2,6,0,3,14,4,0
0,23158,341,82,8.6,28192,334,108,9.8,6,0,2,14,3,0
1,28208,324,65,9.2,28365,330,67,9.4,13,1,1,18,2,1
0,23515,331,100,8.8,26264,409,93,9.4,5,1,0,9,1,0
1,31323,344,79,9.6,25867,316,75,9.0,18,3,0,11,0,2
1,23911,379,105,9.4,24410,373,84,9.2,4,0,0,6,2,0
0,26667,331,112,9.6,26737,320,80,9.2,13,1,1,10,1,0
0,32390,353,101,10.2,23724,320,69,9.2,23,3,0,10,0,2
1,30250,328,107,9.6,23645,301,92,8.8,16,1,0,8,1,3
0,23278,317,79,8.6,30827,404,105,9.6,6,0,2,16,3,0
0,25567,349,89,9.2,25153,343,84,9.2,6,1,1,9,2,2
1,29301,356,94,9.8,22269,375,113,9.2,13,2,0,1,1,2
1,28123,329,76,9.2,23918,319,110,8.8,11,2,1,4,1,1
0,23354,371,92,9.0,25466,382,88,9.2,5,2,0,9,1,0
0,25664,367,105,9.4,26809,379,75,9.4,12,1,2,6,2,0
1,28948,343,111,9.2,25131,313,66,9.0,14,2,0,11,0,1
1,30639,316,89,9.4,26390,320,79,9.2,21,3,0,11,0,2
0,24727,349,75,9.2,28240,353,99,9.6,7,1,1,12,2,1
1,23704,331,84,9.2,26108,317,95,8.8,7,2,1,8,1,0
1,24847,325,80,9.4,28588,381,88,9.2,9,1,3,11,2,0
1,30037,369,102,9.6,25813,312,74,9.0,19,3,0,11,0,1
1,23717,349,92,9.0,21893,391,71,8.8,5,3,0,2,0,0
1,22755,330,87,8.8,25536,378,80,8.8,7,2,1,6,1,0
1,27772,338,69,8.8,24427,335,89,8.6,16,2,1,6,0,2
0,24718,371,107,9.4,24845,389,90,9.6,3,2,1,5,1,1
1,28911,354,83,10.0,27736,298,103,9.2,15,0,0,15,3,1
0,24207,309,96,9.0,27836,366,88,9.6,8,1,1,15,1,0
0,26090,291,83,9.4,30347,335,83,9.6,11,1,1,20,1,1
1,25808,356,80,9.2,27122,318,97,9.4,7,1,1,14,1,1
0,27802,346,69,9.0,27289,356,113,9.6,12,1,0,13,2,1
0,22856,353,92,9.2,28932,340,90,9.4,5,1,1,15,2,0
1,27533,325,84,9.4,27815,330,99,9.4,14,1,1,16,2,1
0,26726,357,111,9.6,24010,367,95,9.2,9,0,0,5,3,1
1,28956,378,120,10.0,20630,355,84,8.4,14,2,0,2,1,2
0,24268,355,104,9.0,26242,372,67,9.0,6,1,0,12,1,0
1,29055,351,83,9.6,24124,346,77,9.0,14,2,0,7,1,2
0,25250,347,59,9.0,29113,371,73,9.4,10,2,1,15,1,0
1,29171,379,85,9.0,23134,338,89,8.8,11,3,0,5,0,3
1,23837,382,103,9.2,25141,410,82,9.4,4,3,0,8,0,0
0,24842,364,97,9.4,26224,351,96,9.6,7,2,1,9,1,0
0,25370,293,116,8.8,30654,376,90,9.6,10,0,3,14,3,0
0,26339,343,75,9.0,28296,350,80,9.4,12,1,2,12,2,0
0,23353,355,89,9.0,27269,407,92,9.4,6,0,1,9,3,0
0,20353,318,92,8.2,30972,424,121,10.0,1,0,3,13,3,0
0,28282,329,84,9.6,28189,306,61,9.4,16,1,1,17,0,1
0,26551,362,90,9.4,24414,340,84,9.2,8,1,0,9,1,0
1,33692,392,93,10.2,22657,265,82,8.6,21,2,0,7,0,3
0,25107,330,88,9.0,28521,379,108,9.8,9,1,1,13,2,0
0,25733,353,72,9.4,33538,418,132,10.0,10,1,3,16,1,0
1,26704,358,104,9.6,24883,366,89,9.4,8,1,0,9,2,1
0,23221,368,84,9.0,27795,392,76,9.8,5,0,1,10,3,0
0,30754,367,100,9.8,23245,327,92,9.2,16,3,0,6,0,3
0,26663,346,63,8.8,31537,397,94,9.8,13,0,2,14,3,0
0,26960,333,95,9.2,28864,361,80,9.6,11,2,1,15,1,0
0,27430,322,67,9.0,28676,295,83,9.2,13,1,1,21,2,1
0,23611,289,72,8.6,29781,310,84,9.4,11,0,1,18,1,0
1,25313,321,57,9.0,27088,364,90,9.6,13,1,0,13,1,0
0,23995,330,79,9.0,29057,322,96,9.6,8,0,1,18,3,0
1,25867,372,88,9.4,23485,368,65,9.2,7,1,0,7,1,1
0,23194,351,70,8.6,27693,324,111,9.0,6,1,1,12,1,0
0,23612,273,93,9.0,24883,325,79,8.6,10,1,0,9,2,0
0,22608,302,83,8.4,29036,370,80,9.6,5,0,1,15,2,0
0,23863,343,86,9.0,26214,355,101,9.2,7,0,1,9,3,0
1,30724,334,81,9.8,23974,346,91,8.8,20,3,0,7,0,2
1,26821,354,147,10.0,23863,375,76,9.2,9,2,0,7,1,1
0,27395,408,92,9.6,24701,348,96,9.4,10,2,0,7,1,1
0,26563,308,81,9.0,29355,330,86,9.0,16,1,2,12,2,0
0,24677,329,66,8.6,28176,352,118,9.0,10,0,2,10,3,0
0,21389,316,63,8.6,31744,363,121,9.8,5,0,3,15,2,0
1,31007,307,78,9.6,26203,313,86,9.0,20,1,1,14,1,2
0,30123,341,91,9.6,31450,389,96,10.0,18,3,1,21,0,0
0,27378,281,72,8.6,27329,295,64,9.2,14,1,0,17,1,1
0,25832,287,84,8.8,26100,318,116,9.4,9,1,0,9,2,2
0,26016,301,80,8.8,29422,322,82,9.0,10,0,2,16,2,1
0,22108,330,88,8.8,26891,373,87,9.4,3,1,2,9,2,0
0,23102,342,82,9.2,27191,401,98,9.4,5,1,1,9,1,0
1,23598,364,68,9.0,26877,342,111,9.2,6,0,1,11,3,0
1,26353,383,82,9.2,21801,325,95,8.8,10,2,0,4,0,1
1,31627,372,104,10.0,24273,314,87,9.2,15,2,0,8,0,4
0,25309,347,95,9.4,26507,395,80,9.6,11,1,0,10,0,0
1,24576,376,99,9.0,25704,313,89,9.0,7,1,0,11,2,0
1,27649,370,91,9.2,26623,368,90,9.6,10,2,0,9,1,2
1,31876,355,105,10.0,24552,337,74,9.0,24,1,1,8,1,1
0,24679,308,80,9.0,27246,349,104,9.2,11,0,0,14,1,0
1,24388,318,91,9.2,25159,332,70,8.8,9,2,1,9,1,0
0,27080,301,74,9.2,26442,351,96,9.2,13,1,1,11,1,1
0,25643,348,80,9.2,30729,355,98,9.6,11,0,2,17,3,0
0,27259,352,92,9.4,24632,322,78,9.2,11,2,1,9,0,2
1,32199,339,74,9.6,24798,309,110,9.0,19,3,0,5,0,4
1,27930,325,76,9.6,26391,326,71,8.8,18,2,1,8,1,1
1,25844,327,92,9.4,26263,362,85,9.2,10,2,1,6,1,1
1,27828,373,111,9.8,22842,365,72,9.0,8,3,0,5,0,2
1,28013,370,92,9.2,24873,351,69,8.8,13,1,0,10,2,1
1,25087,414,78,9.2,26440,368,88,9.6,8,2,0,11,0,0
0,24538,346,100,9.0,25945,374,91,9.2,8,2,0,12,1,1
0,25600,372,79,9.2,24571,300,116,9.2,8,2,1,7,0,1
1,30752,347,95,10.0,25507,336,85,9.0,17,2,0,10,1,4
1,28302,272,66,8.6,28171,314,64,8.8,17,0,2,15,3,1
1,31312,389,105,9.8,20027,280,79,8.2,11,1,1,3,1,7
0,25951,319,75,9.0,33390,367,80,9.8,12,0,3,23,3,0
0,24497,306,71,8.8,26087,321,99,9.2,10,2,0,12,0,0
1,27137,377,68,9.0,24104,343,88,8.8,8,1,0,8,2,2
0,24944,313,100,9.0,24939,348,63,9.2,10,1,0,11,0,0
1,25887,387,89,9.4,24156,348,90,9.0,8,1,1,5,1,1
1,29055,376,68,8.8,23880,311,84,9.0,17,0,0,11,3,2
0,27393,373,63,9.0,24211,291,72,8.8,13,2,0,12,1,1
1,26709,341,83,9.0,25053,344,71,9.2,14,1,0,9,0,0
1,30629,379,87,9.8,24839,339,91,9.0,17,1,0,8,2,2
1,25088,341,86,8.8,27451,322,92,9.2,8,0,2,11,3,0
1,28216,368,102,9.4,22631,309,67,8.8,15,2,1,5,0,1
0,28680,322,80,9.4,29112,320,63,9.6,16,2,0,18,1,1
0,25191,343,84,8.8,29018,373,88,9.8,7,2,1,15,1,1
1,23836,296,75,8.2,29898,344,85,9.6,8,0,2,19,3,0
0,25469,333,89,9.4,25498,315,99,9.4,9,1,0,10,2,1
1,29674,368,71,9.6,23499,294,112,9.2,16,1,0,6,1,2
1,24712,344,93,9.4,28641,363,88,9.8,10,2,1,12,1,0
1,28600,353,98,9.4,24499,372,89,9.4,13,3,0,7,0,2
1,27259,382,115,9.8,23194,354,64,9.0,9,2,0,5,0,1
1,27896,349,88,9.2,29159,340,73,9.0,13,1,2,15,2,0
0,26582,345,78,9.2,23914,390,99,9.0,12,2,0,4,1,1
1,28798,384,76,9.4,27621,354,88,9.2,16,1,1,9,2,1
0,26498,336,75,9.2,32798,375,114,10.0,12,0,1,20,3,0
1,28047,406,85,9.6,21647,317,85,8.6,16,3,0,3,0,1
1,25805,320,60,8.6,29388,336,73,8.8,14,1,2,16,1,0
0,26063,322,97,9.0,28842,390,96,9.2,9,2,2,10,1,1
1,31799,336,65,9.4,27811,319,60,8.8,20,1,0,15,1,3
0,27593,322,88,10.0,26246,343,94,9.2,15,2,1,9,1,1
0,24618,316,91,9.0,29280,339,89,9.8,8,1,1,16,2,1
1,26484,381,80,9.2,25817,357,88,9.6,7,2,0,10,0,1
0,24684,315,88,8.8,28705,326,74,9.6,8,0,0,18,2,1
1,26456,349,78,9.6,27984,341,78,9.2,10,1,2,13,2,0
1,27125,374,95,9.4,23787,344,96,9.2,14,1,0,7,2,0
1,24411,389,77,9.0,25859,393,95,9.4,4,0,1,6,2,1
0,24765,320,74,8.8,33923,359,113,10.0,9,0,3,21,3,0
1,25277,342,89,9.4,29907,411,94,9.8,8,0,3,12,2,1
0,23241,312,50,7.8,30073,302,89,8.8,7,0,4,17,3,0
1,29226,300,72,9.0,24641,273,81,8.8,19,3,0,11,0,1
0,24129,322,65,8.4,26927,309,94,9.2,8,1,1,13,2,1
1,25492,332,87,8.8,26153,317,108,9.4,10,1,0,11,1,1
1,26404,329,103,9.0,27979,312,77,8.8,10,1,2,12,1,1
1,25153,338,91,9.0,24244,299,80,9.2,9,3,0,10,0,0
0,24928,353,77,9.0,24130,321,72,8.6,6,1,1,7,1,1
1,26978,296,67,8.8,25951,311,75,9.4,14,1,0,11,1,1
0,27072,397,72,9.2,25967,388,98,9.4,9,1,1,8,1,1
0,21736,390,78,8.8,29232,346,98,9.4,1,0,3,12,2,0
0,24793,373,92,9.2,30913,375,88,9.8,8,0,1,20,3,0
1,28422,368,92,9.0,24364,353,99,9.0,14,3,0,8,0,1
1,27622,383,56,9.2,27647,367,92,9.2,11,1,1,11,1,2
0,25359,328,64,8.6,29315,362,91,9.2,10,2,0,17,1,0
1,29672,340,112,8.8,20958,296,70,7.8,13,1,0,3,1,3
0,23457,394,96,9.2,24038,383,115,9.4,4,1,0,4,2,0
1,22926,310,65,8.8,24480,357,65,9.0,8,2,1,7,1,0
0,24665,335,84,8.8,26722,328,68,9.0,8,1,0,14,0,0
1,29532,311,71,9.2,28142,338,88,8.8,20,0,1,13,3,1
0,24140,303,75,9.2,26461,323,69,9.4,11,1,0,16,1,0
0,24257,343,98,9.2,27774,399,92,9.2,9,0,1,11,3,0
1,27222,372,71,9.4,24865,354,95,9.4,13,2,0,9,0,1
0,24054,278,43,8.2,31291,335,94,9.6,11,0,2,21,3,0
0,25069,303,62,9.0,33543,341,106,10.2,11,0,2,26,2,0
1,28248,368,86,10.0,25701,328,80,9.2,13,1,0,10,2,1
1,26591,289,80,8.8,27153,352,68,9.2,12,2,1,13,1,1
0,27433,363,87,9.2,26746,324,93,9.4,7,0,1,10,2,2
0,27106,373,82,9.4,25683,368,80,9.4,9,1,0,11,2,0
1,25074,350,113,9.0,24552,382,82,9.0,7,1,1,6,2,0
0,23742,335,84,8.8,26047,387,92,9.2,6,1,0,8,1,0
1,25125,370,75,9.2,28499,368,96,9.4,10,1,3,9,2,0
1,31495,338,136,9.6,21230,326,79,8.4,15,3,0,3,0,3
1,28745,368,106,9.4,25072,353,84,8.6,13,2,0,8,1,1
0,24981,308,86,8.8,29144,351,98,9.4,11,1,2,14,2,0
0,26087,326,76,9.0,30810,378,135,10.2,11,2,2,14,1,1
1,25068,329,87,9.2,28169,353,94,9.2,10,1,1,12,2,0
0,21786,326,80,8.6,29135,379,67,9.8,4,1,2,13,2,0
1,27150,348,86,9.4,27028,383,80,9.6,11,1,0,11,1,1
1,27484,341,79,9.2,25235,331,82,9.0,13,1,1,9,2,1
1,27849,319,104,9.4,27392,336,51,8.8,16,2,1,12,1,1
1,29187,385,89,9.4,24251,319,67,9.0,15,2,0,9,0,2
0,21527,248,56,7.8,31319,391,95,9.6,9,0,3,14,3,0
0,25672,373,73,8.6,25959,382,88,8.6,9,1,2,6,2,0
0,23866,302,107,9.2,27997,368,108,9.4,7,1,1,12,2,0
0,25210,376,83,9.2,26663,358,94,9.4,8,1,1,9,2,0
1,26511,306,82,8.8,30749,369,93,9.2,12,1,2,16,1,2
0,22147,333,62,9.0,26110,375,86,9.4,6,1,1,8,1,0
0,26839,311,83,9.2,25692,337,108,9.4,11,2,0,11,1,1
0,25934,367,96,9.2,24249,349,76,9.2,6,1,0,8,1,2
1,32118,327,75,9.6,21840,227,90,8.0,25,3,1,6,0,7
1,26372,393,75,9.6,25383,370,76,9.0,10,1,1,7,2,1
0,25296,360,87,9.0,25813,359,88,9.4,9,0,0,11,3,0
0,21634,346,98,9.0,27915,442,91,9.6,2,0,1,9,3,0
1,26962,353,101,9.4,24518,334,51,8.8,13,1,0,9,2,0
0,23910,332,109,9.2,27657,352,83,9.2,6,0,2,11,3,0
1,32798,379,119,9.8,24508,327,84,8.8,17,3,0,6,0,3
1,27151,364,110,9.2,25982,349,86,9.4,14,1,1,9,1,0
0,23879,336,108,9.4,22576,336,75,8.6,7,1,1,3,1,0
1,26731,395,66,9.4,22675,326,91,9.2,10,1,0,6,2,1
0,21380,271,89,8.2,31649,376,103,9.4,6,0,5,13,3,0
0,21965,365,103,8.8,28039,368,104,9.8,1,0,2,11,3,0
1,27589,338,96,9.4,23900,359,71,8.6,11,2,0,6,1,1
0,17757,218,52,7.4,30013,368,104,9.2,3,0,6,12,1,0
0,25543,344,81,9.0,26912,336,69,9.2,7,1,1,12,2,2
1,26359,369,66,9.4,25199,346,66,9.0,10,2,1,10,0,1
1,27588,379,75,9.0,24180,302,67,9.0,9,2,0,12,1,2
1,29464,376,102,10.0,23856,332,111,9.2,12,2,0,5,1,2
0,25893,330,75,9.4,28731,366,66,10.0,13,0,2,14,1,0
0,25750,297,79,8.6,28028,379,72,9.2,10,0,3,12,3,1
1,27754,338,69,9.2,26710,283,76,9.2,13,1,0,17,2,1
0,23711,354,81,9.0,26174,360,95,9.2,7,1,1,9,2,0
1,24152,349,76,9.4,27244,336,78,9.4,7,1,2,11,1,0
1,24991,341,84,9.8,24449,344,88,9.4,9,1,0,9,1,0
1,24633,384,76,9.0,27454,390,84,9.6,6,0,1,10,1,0
1,28105,360,80,9.8,25192,346,91,9.0,13,0,1,9,3,1
1,26662,405,87,9.6,21570,312,80,9.0,8,2,0,5,0,2
1,28420,367,84,9.6,24149,324,90,9.2,16,2,1,5,0,1
1,24450,322,115,9.4,27020,344,79,9.2,9,2,1,12,1,0
1,28269,338,85,9.0,22516,348,90,9.0,12,3,0,4,0,3
1,25954,380,86,9.2,24566,374,112,9.4,6,1,0,4,2,1
0,21999,335,104,9.0,29967,399,82,9.4,4,0,3,13,3,0
1,23284,318,93,8.8,24356,289,70,8.2,6,1,1,9,2,0
1,27129,338,87,9.4,23940,336,90,9.0,11,1,0,7,2,2
1,31982,376,120,10.4,21637,319,64,8.2,16,3,0,4,0,3
0,25873,298,92,9.0,31002,300,78,9.2,13,1,1,15,2,0
0,27663,362,90,9.4,30111,344,80,9.6,15,0,1,20,3,0
1,33089,335,73,9.4,19265,218,58,7.4,20,2,0,3,0,6
0,26557,355,74,9.2,24145,282,84,9.2,10,1,0,10,1,1
1,26685,361,88,9.4,24026,346,68,9.2,12,2,1,8,0,0
1,24804,352,80,9.4,29193,369,123,9.6,7,1,2,12,2,0
0,27773,333,58,9.2,30168,347,110,9.6,15,1,1,16,1,0
1,28225,393,109,9.8,25353,361,61,9.2,9,3,1,8,0,2
1,32395,277,60,9.6,30591,313,67,9.2,26,1,1,21,1,1
0,22392,364,72,8.6,24667,354,103,9.4,5,0,0,8,2,0
1,28793,363,85,9.4,25376,332,92,8.8,15,3,0,10,0,1
1,27686,337,104,9.2,18165,194,51,6.4,9,2,0,6,0,5
0,26068,375,89,9.4,26309,375,89,9.2,10,2,0,10,1,0
1,31007,325,86,9.4,24816,300,85,8.6,20,3,0,9,0,0
1,26470,400,96,9.4,23068,315,88,9.0,7,2,1,4,1,1
1,24927,341,83,9.0,28125,385,76,9.2,6,0,2,12,2,0
0,24681,354,75,8.6,25033,278,100,9.2,6,1,0,11,2,1
0,22613,348,104,9.0,26633,352,107,9.6,4,1,0,9,2,0
1,28456,378,92,9.4,25287,373,72,9.0,12,2,1,7,0,2
0,27162,346,88,9.4,29053,371,127,10.0,9,0,1,11,3,1
0,25629,326,63,8.6,33195,332,80,9.8,11,2,3,23,1,0
0,22951,299,80,8.8,30525,434,88,10.2,6,1,2,14,2,0
0,25951,286,72,9.0,32106,411,88,9.8,14,1,3,19,0,1
1,28794,356,79,9.4,24383,292,85,8.8,13,2,0,9,1,2
1,25587,361,80,9.4,27967,357,97,9.2,9,1,2,9,2,1
0,24506,321,88,8.8,32575,363,89,10.0,10,1,3,24,1,0
0,27210,403,77,9.0,27132,387,104,9.4,12,0,0,9,1,0
0,22121,292,58,8.0,35204,360,108,9.8,7,0,6,22,3,0
1,29354,313,100,9.4,27398,328,50,8.8,18,2,0,16,0,1
0,27266,269,62,8.6,34278,330,93,9.6,16,0,2,26,2,0
1,30824,336,108,9.6,22874,284,84,8.4,19,2,0,6,0,1
1,31071,328,77,9.4,30467,310,68,9.0,18,3,1,21,0,2
0,26273,350,72,9.0,27626,330,74,9.2,7,0,1,18,3,1
1,26298,318,77,9.2,24624,312,103,9.0,12,3,0,10,0,1
0,24593,319,96,9.0,28626,397,84,9.4,9,0,2,10,2,0
0,23551,294,72,8.8,26894,357,95,9.2,8,0,0,14,3,0
1,31482,371,116,9.6,23023,273,88,8.6,18,3,0,8,0,3
0,24735,346,76,8.8,27934,312,85,9.2,8,0,1,14,2,0
0,26265,353,76,9.0,25384,310,83,9.6,9,1,1,11,2,1
0,25051,299,70,8.8,32182,377,76,9.8,12,2,2,21,1,0
0,25592,329,94,9.2,26346,401,84,9.6,11,0,2,8,3,0
1,24792,341,108,9.4,27286,361,85,9.2,8,2,1,11,1,0
1,24818,351,80,9.2,23387,294,118,8.8,8,1,0,6,2,0
1,25796,353,92,9.2,27267,352,60,9.0,11,2,2,10,1,0
1,29481,407,95,9.8,21580,334,88,8.4,9,3,0,2,0,4
1,26158,320,96,9.2,25774,363,71,9.2,9,3,0,11,0,1
1,29111,323,95,9.8,22728,287,57,8.6,17,3,0,9,0,1
0,21971,293,80,8.6,30138,341,76,9.4,5,0,1,19,2,0
0,24281,315,69,8.8,30612,384,98,10.0,8,1,2,19,0,0
1,26671,352,94,9.4,24282,312,65,9.0,10,2,0,10,1,1
0,24177,347,102,8.8,28972,380,62,9.4,5,2,1,16,1,1
1,30327,335,82,9.0,27496,321,86,9.2,17,3,0,14,0,3
0,23918,344,70,8.6,24968,313,97,9.2,8,1,0,11,2,1
1,26463,299,78,9.0,25434,295,74,8.6,13,2,1,11,1,1
1,25658,329,66,9.0,25270,339,77,8.8,13,1,1,9,2,0
1,26326,324,90,9.0,27221,346,108,9.6,11,2,0,14,1,2
0,23403,359,72,9.0,27123,335,93,9.6,7,0,1,13,3,0
0,25371,292,59,8.8,33178,360,104,10.2,10,0,2,24,3,0
1,27816,321,60,9.0,24644,329,74,9.0,12,2,0,10,1,2
0,28806,307,71,8.8,30397,291,66,9.2,18,0,2,21,3,1
0,21031,334,67,8.6,28145,369,96,9.8,3,0,2,12,3,0
0,24174,367,80,9.6,24505,376,107,9.6,7,0,0,7,1,0
0,25085,328,76,9.0,29217,321,92,9.4,13,1,1,14,3,0
1,31604,377,105,9.6,22071,316,60,8.8,14,2,0,5,1,3
1,26420,310,74,9.0,28949,331,75,9.2,12,2,2,14,0,1
0,20540,326,73,8.2,30761,358,115,9.8,2,0,2,20,2,0
1,32199,349,83,9.8,23513,288,90,8.4,17,1,0,8,1,3
0,19687,248,84,8.0,29939,342,82,9.6,3,2,2,18,1,0
1,26443,301,107,9.8,25339,367,104,9.4,9,2,0,8,1,1
1,31344,358,100,9.8,24433,272,102,9.0,17,2,1,9,1,3
1,28810,358,98,9.6,26701,355,83,9.0,17,2,1,9,0,0
0,24377,301,71,8.6,28738,308,78,9.0,10,1,2,14,2,0
0,24503,333,83,8.8,33306,354,88,10.2,10,0,2,24,2,0
0,25101,368,67,9.0,24484,299,97,9.2,8,1,0,10,0,0
0,22748,293,60,8.8,30668,351,116,9.6,7,0,4,15,3,0
1,28075,350,84,8.8,26658,285,84,8.8,13,2,1,11,1,1
0,27774,361,78,9.2,26463,368,103,9.0,13,1,1,7,2,1
1,29282,322,100,9.4,25078,313,92,9.0,18,2,1,7,1,2
1,29928,414,102,10.0,24023,353,75,8.8,11,3,0,6,0,2
0,27155,302,83,8.8,27686,337,93,9.2,14,1,1,14,2,0
0,25622,292,80,8.4,29200,343,114,9.6,11,1,1,15,1,1
0,28184,389,78,9.6,28498,368,93,9.8,8,0,1,15,3,1
0,28858,391,72,9.4,29750,369,89,9.8,9,0,2,16,2,3
1,28108,367,99,9.4,24567,368,79,8.8,16,2,1,5,1,0
0,25894,321,80,9.0,31483,312,83,9.4,11,1,2,19,0,0
0,23803,273,47,8.2,30613,329,97,9.2,11,1,2,17,1,0
0,25259,324,88,9.2,28049,388,70,9.6,8,2,1,11,1,1
1,28677,278,81,9.2,27770,338,66,8.8,20,2,0,16,1,0
0,25631,368,67,8.6,28117,382,100,10.2,9,1,0,13,1,1
1,31251,371,84,9.2,18393,214,69,7.8,18,3,0,2,0,4
1,31341,311,89,9.2,24060,302,71,8.2,20,2,0,10,1,2
1,25887,354,108,9.8,25109,342,109,9.4,9,1,1,7,2,0
0,21999,339,63,8.6,27007,342,86,9.4,4,1,1,12,2,0
1,24803,325,76,9.0,27281,369,78,9.2,8,2,1,13,0,1
0,23434,327,77,8.6,25735,337,84,9.4,9,2,0,12,1,0
0,21331,349,89,8.8,28579,390,88,9.6,2,0,2,11,3,0
0,23607,344,74,8.8,27210,346,72,9.6,5,0,1,14,1,0
1,28189,353,97,9.4,28000,305,81,9.2,13,0,1,13,3,1
1,25715,354,77,9.4,26452,343,67,9.2,7,1,1,12,1,1
0,29404,336,124,9.6,27158,355,71,9.0,16,1,1,14,2,1
1,25804,333,78,8.8,23001,296,53,8.4,10,2,1,8,1,1
0,25538,290,86,9.0,29321,333,84,9.2,12,1,2,13,1,1
1,32992,288,73,9.4,25966,323,78,8.2,25,3,0,10,0,2
1,27064,330,72,9.8,28688,340,68,9.4,12,1,1,16,1,1
0,23186,354,76,8.8,27694,356,80,9.4,6,1,1,13,1,0
1,30301,283,92,9.0,25965,317,64,9.0,17,3,1,13,0,3
0,26586,303,92,9.4,28188,352,80,9.4,14,1,2,12,1,0
0,25445,309,62,8.8,23242,299,79,8.6,9,0,1,8,2,2
1,24950,377,71,9.2,25790,365,108,9.2,9,2,2,5,1,1
0,28040,330,100,9.4,29661,369,76,9.6,14,0,1,16,2,1
0,22189,295,75,8.4,28939,362,68,9.4,5,1,1,17,2,1
0,24360,377,78,9.4,24712,391,93,9.4,7,1,0,6,2,0
1,31697,359,84,9.8,24965,331,87,8.6,19,2,0,11,0,2
1,27928,356,99,9.2,24007,343,85,9.0,11,1,0,8,1,1
1,28446,317,60,9.2,25617,291,67,9.0,19,2,0,13,1,1
0,29140,345,75,9.4,26296,341,98,9.0,18,1,1,10,2,1
1,29540,357,92,9.8,24064,283,68,8.6,17,1,0,8,2,1
0,26520,375,67,9.4,26532,392,80,9.0,9,2,0,9,1,0
0,25311,362,84,9.2,27674,371,100,9.6,8,1,1,13,1,1
1,28215,345,68,9.2,26032,291,96,9.4,14,0,0,14,2,1
0,25849,345,87,9.2,28291,364,86,9.4,11,2,1,12,0,0
0,22953,329,63,8.8,25177,318,92,8.4,4,0,1,9,3,1
0,25949,400,94,9.4,24841,347,84,9.0,8,1,1,7,2,1
0,25558,353,81,9.0,23455,374,90,8.8,9,3,0,3,0,1
0,31409,364,92,10.4,26506,360,88,9.2,21,2,0,9,1,2
0,23975,331,91,9.2,30272,322,111,9.2,7,0,3,16,3,0
1,31543,331,83,9.4,20741,222,88,8.2,17,3,0,7,0,5
0,17916,234,47,6.8,26534,344,100,9.2,2,0,6,6,1,0
1,27399,329,85,9.4,26124,328,81,9.4,15,2,0,12,0,0
0,22818,297,83,8.4,29950,424,80,9.4,5,1,3,12,1,0
1,30391,384,112,9.6,22282,319,64,8.4,13,3,0,4,0,3
